placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
78,77,2009-02-03,3,1,2008-2009,Assis,Bauru Basket,1,75.0,18.0,36.0,21.0,28.0,8.0,20.0,6.0,16.0,0.38,6.0,22.0,27.27,18.0,33.0,54.55,21.0,26.0,80.77,1.0,7.0,0.44,3.0,15.0,0.2,16.0,0.0,67.0,65.0,15.0,38.0,12.0,29.0,6.0,23.0,5.0,12.0,0.42,5.0,20.0,25.0,19.0,40.0,47.5,12.0,21.0,57.14,1.0,4.0,0.33,2.0,19.0,0.11,12.0,0.0,48.0
70,65,2009-02-11,4,1,2008-2009,Joinville,Espírito Santo,1,91.66666666666667,35.0,42.666666666666664,14.0,31.0,9.0,22.0,20.333333333333332,17.666666666666668,1.17,11.666666666666666,27.333333333333332,42.406666666666666,21.333333333333332,37.666666666666664,57.29333333333333,14.0,19.0,72.08,0.6666666666666666,6.333333333333333,0.37666666666666665,1.6666666666666667,22.666666666666668,0.06666666666666667,17.666666666666668,0.0,96.33333333333333,75.0,17.0,46.666666666666664,11.333333333333334,28.333333333333332,7.333333333333333,21.0,11.333333333333334,12.666666666666666,1.0066666666666666,5.666666666666667,20.666666666666668,27.343333333333334,23.333333333333332,39.333333333333336,59.866666666666674,11.333333333333334,17.666666666666668,62.96333333333333,0.3333333333333333,11.0,0.87,1.3333333333333333,21.333333333333332,0.06333333333333334,12.666666666666666,0.0,77.0
77,80,2009-02-11,4,1,2008-2009,Lajeado,Saldanha,0,65.33333333333333,13.0,36.0,16.333333333333332,33.0,11.666666666666666,21.333333333333332,11.0,19.333333333333332,0.5933333333333334,4.333333333333333,23.666666666666668,17.613333333333333,18.0,41.0,43.88666666666666,16.333333333333332,23.666666666666668,68.83999999999999,0.6666666666666666,9.333333333333334,0.49333333333333335,1.0,19.666666666666668,0.043333333333333335,19.333333333333332,0.0,50.666666666666664,75.33333333333333,22.0,37.333333333333336,16.0,31.333333333333332,10.0,21.333333333333332,6.0,19.0,0.3133333333333333,7.333333333333333,21.666666666666668,33.983333333333334,18.666666666666668,34.0,54.876666666666665,16.0,22.333333333333332,72.58999999999999,3.6666666666666665,9.333333333333334,0.48666666666666664,2.6666666666666665,19.666666666666668,0.1366666666666667,19.0,0.0,69.66666666666667
79,85,2009-02-11,4,1,2008-2009,Limeira,Minas,0,80.33333333333333,31.0,31.333333333333332,18.0,28.666666666666668,6.333333333333333,22.333333333333332,14.666666666666666,25.666666666666668,0.6066666666666668,10.333333333333334,28.333333333333332,36.92,15.666666666666666,29.0,54.10333333333333,18.0,21.333333333333332,84.21666666666665,1.6666666666666667,5.333333333333333,0.21,3.0,21.333333333333332,0.13333333333333333,25.666666666666668,0.0,71.66666666666667,80.66666666666667,20.0,46.666666666666664,14.0,31.333333333333332,8.666666666666666,22.666666666666668,19.0,14.666666666666666,1.3166666666666667,6.666666666666667,21.333333333333332,31.820000000000004,23.333333333333332,42.333333333333336,55.31,14.0,21.0,67.25333333333333,1.0,5.333333333333333,0.36999999999999994,1.3333333333333333,21.666666666666668,0.06666666666666667,14.666666666666666,0.0,82.33333333333333
72,90,2009-02-11,4,1,2008-2009,Coop/São José Basketball,Flamengo,0,82.33333333333333,26.0,38.666666666666664,17.666666666666668,27.666666666666668,7.333333333333333,20.333333333333332,14.333333333333334,14.0,1.0466666666666666,8.666666666666666,28.333333333333332,30.613333333333333,19.333333333333332,34.666666666666664,55.49,17.666666666666668,23.666666666666668,74.18666666666667,0.0,7.666666666666667,0.5466666666666667,3.0,23.666666666666668,0.13333333333333333,14.0,0.0,80.0,96.0,37.0,45.333333333333336,13.666666666666666,30.0,12.666666666666666,17.333333333333332,17.0,12.0,1.5366666666666664,12.333333333333334,28.666666666666668,43.49666666666667,22.666666666666668,42.0,53.56,13.666666666666666,19.0,71.42666666666666,2.0,7.666666666666667,0.7033333333333333,1.3333333333333333,20.666666666666668,0.06333333333333334,12.0,0.0,99.0
68,73,2009-02-11,4,1,2008-2009,Assis,Paulistano,0,76.5,21.0,36.0,19.5,28.5,8.5,20.0,10.5,11.5,1.26,7.0,24.0,29.02,18.0,33.5,53.745,19.5,26.5,73.72,1.0,6.5,0.65,3.5,16.5,0.21000000000000002,11.5,0.0,74.5,78.0,23.0,41.333333333333336,13.666666666666666,28.666666666666668,10.333333333333334,18.333333333333332,21.333333333333332,15.666666666666666,1.55,7.666666666666667,24.0,33.65,20.666666666666668,36.666666666666664,56.830000000000005,13.666666666666666,20.666666666666668,63.57333333333333,1.3333333333333333,6.0,0.4166666666666667,4.0,22.333333333333332,0.17666666666666667,15.666666666666666,0.0,83.0
88,82,2009-02-11,4,1,2008-2009,Bauru Basket,Pinheiros,1,71.0,13.5,44.0,13.5,27.5,5.5,22.0,6.5,11.5,0.575,4.5,16.5,27.884999999999998,22.0,41.5,52.82,13.5,19.0,72.69,0.5,3.5,0.30000000000000004,2.0,21.0,0.1,11.5,0.0,62.0,83.66666666666667,27.0,36.666666666666664,20.0,37.0,10.333333333333334,26.666666666666668,16.0,15.0,1.0866666666666667,9.0,23.666666666666668,37.699999999999996,18.333333333333332,36.333333333333336,49.79333333333333,20.0,25.666666666666668,78.06333333333333,3.0,5.666666666666667,0.3866666666666667,2.3333333333333335,17.0,0.1366666666666667,15.0,0.0,91.33333333333333
77,64,2009-02-12,4,1,2008-2009,Araraquara,Brasília,1,70.0,23.0,36.666666666666664,10.333333333333334,28.666666666666668,6.666666666666667,22.0,10.333333333333334,16.0,0.8099999999999999,7.666666666666667,30.333333333333332,23.796666666666663,18.333333333333332,35.0,52.54666666666666,10.333333333333334,18.333333333333332,56.26666666666667,0.6666666666666666,9.0,0.5366666666666666,3.6666666666666665,22.333333333333332,0.17333333333333334,16.0,0.0,58.333333333333336,82.0,19.5,49.0,13.5,33.5,11.0,22.5,13.5,14.0,0.9750000000000001,6.5,20.0,32.96,24.5,41.0,59.76,13.5,20.0,67.79,1.5,8.0,0.58,5.0,20.0,0.255,14.0,0.0,91.5
59,66,2009-02-13,5,1,2008-2009,Sesi Franca,Brasília,0,83.33333333333333,20.0,45.333333333333336,18.0,30.333333333333332,6.0,24.333333333333332,13.666666666666666,12.0,1.14,6.666666666666667,22.666666666666668,29.393333333333334,22.666666666666668,41.666666666666664,55.24333333333334,18.0,26.0,69.48,0.6666666666666666,8.0,0.6666666666666666,1.6666666666666667,12.666666666666666,0.15333333333333335,12.0,0.0,82.0,76.0,21.0,42.0,13.0,34.333333333333336,9.666666666666666,24.666666666666668,14.0,15.666666666666666,0.9133333333333334,7.0,21.333333333333332,33.083333333333336,21.0,38.0,54.423333333333325,13.0,20.0,65.19333333333334,1.6666666666666667,8.0,0.5266666666666666,3.6666666666666665,21.666666666666668,0.18333333333333335,15.666666666666666,0.0,82.0
93,50,2009-02-13,5,1,2008-2009,Joinville,Saldanha,1,86.25,33.75,38.5,14.0,32.75,7.75,25.0,19.0,17.0,1.1275,11.25,27.5,40.7325,19.25,35.5,54.177499999999995,14.0,18.5,74.64750000000001,0.5,6.5,0.39999999999999997,2.0,22.75,0.0825,17.0,0.0,92.5,76.5,21.0,40.0,15.5,30.0,8.0,22.0,6.5,18.5,0.3525,7.0,21.25,32.9875,20.0,34.25,58.3,15.5,22.75,69.02499999999999,4.0,9.75,0.5275,2.25,20.5,0.1125,18.5,0.0,70.75
