placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
66,114,2024-10-19,2,1,2024-2025,Mogi Basquete,Flamengo,0,68.88666666666666,22.666666666666668,37.333333333333336,8.886666666666665,34.446666666666665,9.886666666666665,24.55333333333333,15.666666666666666,14.333333333333334,1.0966666666666667,7.553333333333334,24.22,31.099999999999998,18.666666666666668,39.78,46.89333333333334,8.886666666666665,14.219999999999999,61.593333333333334,1.5533333333333335,9.219999999999999,0.6566666666666667,1.22,20.44666666666667,0.06,14.333333333333334,2.3333333333333335,72.0,75.75,32.25,31.5,12.0,46.75,13.0,33.75,18.5,15.25,1.23,10.75,31.0,34.68,15.75,30.75,50.69,12.0,18.5,66.815,3.0,9.25,0.615,3.25,21.25,0.15000000000000002,15.25,4.75,96.5
80,82,2024-10-19,2,1,2024-2025,Corinthians,São Paulo,0,83.0,36.0,24.0,23.0,40.5,16.0,24.5,19.0,9.5,2.0,12.0,35.5,33.8,12.0,33.5,35.82,23.0,24.5,93.88,0.5,5.0,0.53,1.5,23.0,0.07,9.5,0.5,93.0,85.0,27.0,40.0,18.0,39.5,11.0,28.5,17.5,13.5,1.3,9.0,26.5,33.96,20.0,36.0,55.56,18.0,22.0,81.82,0.5,5.0,0.37,0.5,20.5,0.02,13.5,3.0,96.5
91,64,2024-10-21,3,1,2024-2025,Minas,São José Basketball,1,77.33333333333333,19.0,41.333333333333336,17.0,44.333333333333336,10.666666666666666,33.666666666666664,16.333333333333332,17.333333333333332,0.9766666666666667,6.333333333333333,21.666666666666668,29.816666666666663,20.666666666666668,41.0,50.42666666666667,17.0,24.0,71.54,1.0,6.0,0.36333333333333334,4.0,20.666666666666668,0.19333333333333336,17.333333333333332,4.0,88.0,64.0,15.0,32.666666666666664,16.333333333333332,35.0,8.333333333333334,26.666666666666668,15.333333333333334,14.666666666666666,1.07,5.0,20.666666666666668,24.213333333333335,16.333333333333332,37.333333333333336,43.696666666666665,16.333333333333332,21.333333333333332,76.62333333333333,2.6666666666666665,8.333333333333334,0.5933333333333333,3.0,19.333333333333332,0.15666666666666665,14.666666666666666,2.0,69.33333333333333
62,65,2024-10-21,3,1,2024-2025,Vasco da Gama,Pinheiros,0,61.0,25.0,19.333333333333332,16.666666666666668,36.666666666666664,11.0,25.666666666666668,17.0,14.0,1.2133333333333336,8.333333333333334,30.0,27.78,9.666666666666666,25.666666666666668,37.68666666666667,16.666666666666668,24.333333333333332,68.66666666666667,1.3333333333333333,7.333333333333333,0.5233333333333333,1.0,22.666666666666668,0.04,14.0,2.6666666666666665,63.666666666666664,65.0,18.0,29.0,18.0,38.0,13.0,25.0,15.0,14.0,1.4649999999999999,6.0,22.5,25.0,14.5,33.5,43.305,18.0,25.0,70.83500000000001,2.5,9.0,0.64,1.0,21.0,0.055,14.0,2.5,71.5
89,60,2024-10-22,3,1,2024-2025,Pato Basquete,Fortaleza Basquete Cearense,1,79.0,32.0,34.666666666666664,12.333333333333334,34.666666666666664,8.333333333333334,26.333333333333332,16.333333333333332,10.666666666666666,1.5166666666666668,10.666666666666666,28.333333333333332,37.830000000000005,17.333333333333332,33.0,51.596666666666664,12.333333333333334,16.333333333333332,76.19,0.0,4.0,0.36999999999999994,3.6666666666666665,22.0,0.17333333333333334,10.666666666666666,2.0,89.66666666666667,73.0,21.0,40.0,12.0,39.5,10.0,29.5,13.0,15.5,0.84,7.0,25.5,27.45,20.0,35.0,57.14,12.0,19.0,63.16,1.0,7.5,0.48,1.5,18.0,0.08,15.5,3.5,78.5
82,66,2024-10-22,3,1,2024-2025,São Paulo,Sesi Franca,1,85.0,27.0,40.0,18.0,39.5,11.0,28.5,17.5,13.5,1.3,9.0,26.5,33.96,20.0,36.0,55.56,18.0,22.0,81.82,0.5,5.0,0.37,0.5,20.5,0.02,13.5,3.0,96.5,80.5,22.5,47.0,11.0,35.0,7.5,27.5,14.5,9.5,1.53,7.5,22.5,33.33,23.5,41.0,57.32,11.0,16.0,68.75,3.5,7.0,0.74,2.5,17.0,0.15,9.5,1.0,92.5
58,73,2024-10-22,3,1,2024-2025,Botafogo,Corinthians,0,76.5,28.5,34.0,14.0,50.0,14.0,36.0,15.5,15.5,1.005,9.5,30.0,32.144999999999996,17.0,37.0,45.95,14.0,24.0,62.225,1.0,8.0,0.52,3.0,21.5,0.14,15.5,1.0,87.0,83.0,36.0,24.0,23.0,40.5,16.0,24.5,19.0,9.5,2.0,12.0,35.5,33.8,12.0,33.5,35.82,23.0,24.5,93.88,0.5,5.0,0.53,1.5,23.0,0.07,9.5,0.5,93.0
77,89,2024-10-23,3,1,2024-2025,Caxias do Sul Basquete,União Corinthians,0,74.5,30.0,35.0,9.5,37.0,9.0,28.0,16.5,14.0,1.18,10.0,25.5,39.22,17.5,36.5,47.95,9.5,13.5,70.37,0.0,3.0,0.21,0.5,22.5,0.02,14.0,3.5,79.0,75.0,21.0,41.0,13.0,35.0,12.5,22.5,15.0,18.0,0.83,7.0,21.5,32.56,20.5,41.5,49.4,13.0,18.0,72.22,0.0,9.5,0.53,0.0,18.0,0.0,18.0,3.5,76.0
81,76,2024-10-23,3,1,2024-2025,Brasília Basquete,São José Basketball,1,77.0,38.0,24.666666666666668,14.333333333333334,34.666666666666664,9.0,25.666666666666668,16.666666666666668,12.666666666666666,1.3133333333333335,12.666666666666666,36.0,35.12,12.333333333333334,28.666666666666668,43.56,14.333333333333334,20.0,71.66666666666667,1.0,6.0,0.47000000000000003,1.3333333333333333,21.333333333333332,0.06666666666666667,12.666666666666666,3.0,77.66666666666667,65.5,13.875,35.5,16.125,35.0,8.5,26.5,14.75,14.125,1.0625,4.625,21.125,22.05,17.75,36.75,48.4875,16.125,21.375,75.49000000000001,2.0,7.375,0.5349999999999999,2.625,19.625,0.135,14.125,2.0,70.375
67,80,2024-10-24,3,1,2024-2025,Botafogo,Pinheiros,0,71.83333333333333,24.0,35.0,12.833333333333334,48.166666666666664,14.833333333333334,33.333333333333336,15.166666666666666,14.166666666666666,1.0899999999999999,8.0,26.833333333333332,29.56,17.5,40.5,43.616666666666674,12.833333333333334,20.833333333333332,65.62,0.8333333333333334,7.666666666666667,0.5499999999999999,2.6666666666666665,19.666666666666668,0.1366666666666667,14.166666666666666,1.3333333333333333,81.5,66.22333333333334,18.0,32.666666666666664,15.556666666666667,39.0,13.666666666666666,25.333333333333332,14.89,14.11,1.3166666666666667,6.0,21.666666666666668,26.666666666666668,16.333333333333332,37.11,43.906666666666666,15.556666666666667,22.11,68.99333333333334,1.89,8.776666666666666,0.62,1.0,21.0,0.05333333333333334,14.11,2.6666666666666665,72.77666666666666
